Country,Total_Revenue,Total_Orders,Unique_Customers,Total_Quantity,Unique_Products,Avg_Order_Value,Revenue_Per_Customer
United Kingdom,3773730.244,15078,3784,2460581,3624,250.28055736835123,997.2860052854122
Germany,139765.52,440,93,90514,1621,317.64890909090906,1502.8550537634408
France,126993.56,374,86,81792,1491,339.5549732620321,1476.6693023255814
EIRE,106134.21,235,3,69293,1892,451.63493617021277,35378.07
Spain,33359.94,82,29,20162,1067,406.8285365853659,1150.3427586206897
Belgium,32522.79,98,25,20351,769,331.86520408163267,1300.9116000000001
Switzerland,28601.2,45,21,19957,882,635.5822222222222,1361.9619047619049
Portugal,20680.28,48,19,12902,671,430.83916666666664,1088.435789473684
Norway,16352.05,34,10,12323,514,480.9426470588235,1635.205
Italy,13407.4,34,14,6809,459,394.33529411764704,957.6714285714286
Channel Islands,13086.35,22,7,6978,403,594.834090909091,1869.4785714285715
Netherlands,11483.74,67,9,13309,446,171.39910447761193,1275.971111111111
Finland,11307.960000000001,38,12,7866,429,297.57789473684215,942.33
Australia,9485.61,45,9,6084,326,210.79133333333334,1053.9566666666667
Cyprus,8745.67,13,7,4272,467,672.7438461538461,1249.3814285714286
Austria,6295.08,17,11,3685,290,370.2988235294118,572.28
Poland,5883.91,19,6,3133,198,309.6794736842105,980.6516666666666
Denmark,5159.4,17,9,3997,195,303.49411764705883,573.2666666666667
Sweden,4795.26,28,8,3124,200,171.2592857142857,599.4075
Israel,3547.5,5,3,2706,192,709.5,1182.5
Iceland,3174.62,7,1,1948,99,453.51714285714286,3174.62
Singapore,2937.14,4,1,2570,120,734.285,2937.14
USA,2882.77,5,4,2008,159,576.554,720.6925
Unspecified,2483.35,8,4,1729,211,310.41875,620.8375
Canada,2248.32,4,3,1806,139,562.08,749.44
Malta,1876.49,5,2,899,97,375.298,938.245
Greece,1801.33,5,4,1029,108,360.26599999999996,450.3325
Japan,1524.97,12,6,2324,106,127.08083333333333,254.16166666666666
United Arab Emirates,1186.18,3,2,760,59,395.3933333333334,593.09
European Community,1093.25,3,1,468,48,364.4166666666667,1093.25
RSA,1002.3100000000001,1,1,351,57,1002.3100000000001,1002.3100000000001
Lebanon,741.33,1,1,265,32,741.33,741.33
Czech Republic,498.84,2,1,533,19,249.42,498.84
Brazil,456.84000000000003,1,1,176,23,456.84000000000003,456.84000000000003
Lithuania,391.5,3,1,206,14,130.5,391.5
Bahrain,353.4,2,2,104,14,176.7,176.7
Saudi Arabia,145.92,1,1,80,9,145.92,145.92
